,City,Population,ViolentCrime,Murder,Rape,Robbery,AggAssault,PropertyCrime,Burglary,Theft,VehicleTheft,Arson
0,Adelanto,34491.0,276.0,1.0,20.0,42.0,213.0,459.0,136.0,209.0,114.0,14.0
1,Agoura Hills,20490.0,21.0,0.0,6.0,4.0,11.0,306.0,66.0,223.0,17.0,0.0
2,Alameda,78907.0,162.0,0.0,7.0,94.0,61.0,2579.0,218.0,1958.0,403.0,29.0
3,Albany,20083.0,40.0,0.0,8.0,21.0,11.0,685.0,105.0,534.0,46.0,1.0
4,Alhambra,84837.0,161.0,2.0,11.0,89.0,59.0,1749.0,259.0,1303.0,187.0,8.0
5,Aliso Viejo,52247.0,27.0,1.0,3.0,13.0,10.0,433.0,57.0,351.0,25.0,1.0
6,Alturas,2471.0,10.0,0.0,2.0,1.0,7.0,30.0,14.0,13.0,3.0,0.0
7,American Canyon,20452.0,53.0,0.0,7.0,7.0,39.0,454.0,59.0,368.0,27.0,3.0
8,Anaheim,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0
9,Anderson,10545.0,61.0,1.0,5.0,12.0,43.0,363.0,63.0,208.0,92.0,1.0
10,Angels Camp,3909.0,6.0,0.0,2.0,1.0,3.0,74.0,19.0,45.0,10.0,0.0
11,Antioch,112641.0,648.0,12.0,55.0,238.0,343.0,3199.0,511.0,2078.0,610.0,59.0
12,Apple Valley,74051.0,339.0,4.0,19.0,68.0,248.0,1105.0,230.0,660.0,215.0,11.0
13,Arcadia,58899.0,84.0,1.0,10.0,35.0,38.0,1348.0,301.0,973.0,74.0,3.0
14,Arcata,18332.0,72.0,1.0,12.0,16.0,43.0,605.0,122.0,425.0,58.0,21.0
15,Arroyo Grande,18188.0,27.0,0.0,2.0,7.0,18.0,275.0,35.0,219.0,21.0,3.0
16,Artesia,16779.0,72.0,1.0,2.0,28.0,41.0,284.0,90.0,161.0,33.0,0.0
17,Arvin,21811.0,196.0,3.0,3.0,16.0,174.0,437.0,115.0,178.0,144.0,16.0
18,Atascadero,30579.0,65.0,0.0,7.0,7.0,51.0,493.0,96.0,360.0,37.0,3.0
19,Atherton,7222.0,12.0,0.0,2.0,4.0,6.0,110.0,32.0,74.0,4.0,0.0
20,Atwater,29632.0,206.0,1.0,10.0,22.0,173.0,1031.0,140.0,708.0,183.0,0.0
21,Auburn,14201.0,50.0,0.0,8.0,5.0,37.0,237.0,72.0,146.0,19.0,5.0
22,Avalon,3722.0,10.0,0.0,2.0,0.0,8.0,40.0,7.0,28.0,5.0,0.0
23,Avenal,12991.0,69.0,0.0,7.0,3.0,59.0,58.0,26.0,28.0,4.0,0.0
24,Azusa,50405.0,144.0,5.0,17.0,46.0,76.0,959.0,174.0,646.0,139.0,12.0
25,Bakersfield,388080.0,1766.0,34.0,116.0,701.0,915.0,16074.0,3888.0,9277.0,2909.0,470.0
26,Baldwin Park,75862.0,188.0,1.0,24.0,50.0,113.0,1110.0,196.0,606.0,308.0,5.0
27,Banning,31450.0,136.0,2.0,16.0,27.0,91.0,532.0,179.0,210.0,143.0,0.0
28,Barstow,24121.0,274.0,5.0,10.0,82.0,177.0,986.0,285.0,527.0,174.0,37.0
29,Bear Valley,5507.0,11.0,0.0,7.0,0.0,4.0,44.0,6.0,36.0,2.0,0.0
30,Beaumont,50990.0,92.0,2.0,14.0,38.0,38.0,922.0,178.0,548.0,196.0,11.0
31,Bell,35759.0,168.0,0.0,11.0,37.0,120.0,441.0,127.0,224.0,90.0,0.0
32,Bellflower,77196.0,327.0,1.0,29.0,107.0,190.0,1506.0,326.0,860.0,320.0,7.0
33,Bell Gardens,42366.0,147.0,0.0,4.0,69.0,74.0,630.0,78.0,334.0,218.0,4.0
34,Belmont,27272.0,45.0,1.0,8.0,1.0,35.0,392.0,50.0,312.0,30.0,2.0
35,Belvedere,2114.0,1.0,0.0,0.0,0.0,1.0,15.0,2.0,13.0,0.0,0.0
36,Benicia,28471.0,16.0,0.0,1.0,13.0,2.0,377.0,72.0,250.0,55.0,2.0
37,Berkeley,122788.0,618.0,0.0,74.0,369.0,175.0,6256.0,771.0,4993.0,492.0,17.0
38,Beverly Hills,34211.0,103.0,1.0,6.0,52.0,44.0,1499.0,257.0,1197.0,45.0,6.0
39,Big Bear,5311.0,76.0,0.0,7.0,4.0,65.0,135.0,30.0,92.0,13.0,0.0
40,Biggs,1726.0,3.0,0.0,1.0,0.0,2.0,17.0,3.0,10.0,4.0,0.0
41,Bishop,3731.0,34.0,0.0,9.0,6.0,19.0,183.0,29.0,150.0,4.0,0.0
42,Blythe,19889.0,92.0,0.0,7.0,29.0,56.0,644.0,177.0,434.0,33.0,44.0
43,Bradbury,1089.0,1.0,0.0,0.0,1.0,0.0,10.0,2.0,6.0,2.0,0.0
