,ZIPCODE,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
5,90011,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,431284.0,431834.0,431883.0,434223.0,437189.0,439420.0,437700.0,437288.0,438655.0,443029.0,445805.0,450115.0
8,91331,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,493023.0,491204.0,489511.0,489494.0,489850.0,491273.0,489745.0,490367.0,491787.0,496455.0,500367.0,506064.0
9,90650,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,487572.0,485517.0,484164.0,484345.0,485361.0,486121.0,484453.0,484143.0,485745.0,489355.0,492048.0,495037.0
12,90201,CA,Bell,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,451985.0,451959.0,452378.0,452891.0,452835.0,453393.0,452322.0,452175.0,453846.0,457415.0,460570.0,463997.0
13,92335,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,350245.0,351116.0,352676.0,354228.0,356071.0,357008.0,356722.0,357487.0,358679.0,360668.0,361821.0,362922.0
18,92503,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,400907.0,402083.0,404096.0,404978.0,404675.0,404523.0,404923.0,405807.0,405938.0,407940.0,408807.0,411678.0
19,90250,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,650249.0,648370.0,646941.0,647407.0,649651.0,652634.0,651494.0,651293.0,652891.0,657163.0,659984.0,663951.0
20,90044,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,445462.0,445393.0,446202.0,447074.0,449871.0,452715.0,452918.0,454171.0,455960.0,460285.0,463816.0,467968.0
21,90805,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,470509.0,468851.0,467637.0,468238.0,469670.0,471665.0,470967.0,471531.0,473429.0,477882.0,481526.0,484710.0
22,90280,CA,South Gate,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,453101.0,452163.0,451216.0,451566.0,451885.0,453326.0,452418.0,453595.0,456119.0,460607.0,463712.0,466655.0
23,93307,CA,Bakersfield,"Bakersfield, CA",Kern County,178437.0,179834.0,181031.0,181668.0,182967.0,184440.0,185423.0,186333.0,186879.0,187383.0,188014.0,188337.0
24,91342,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,526646.0,524883.0,523427.0,523668.0,525548.0,528493.0,527850.0,527889.0,528706.0,533005.0,536358.0,540613.0
25,92683,CA,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,679908.0,677644.0,677925.0,678175.0,680164.0,679797.0,681010.0,683007.0,688805.0,693213.0,695253.0,695793.0
26,92336,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,456234.0,456868.0,457893.0,458341.0,459746.0,460329.0,459856.0,459892.0,460058.0,462066.0,463733.0,465665.0
29,94565,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,589462.0,586794.0,581009.0,573982.0,571342.0,569497.0,572783.0,575204.0,579866.0,580378.0,582957.0,586777.0
40,91911,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,464532.0,462456.0,461680.0,464026.0,465841.0,469057.0,471981.0,473607.0,473719.0,474133.0,476608.0,479116.0
48,92804,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,589323.0,588040.0,588536.0,588946.0,590660.0,591286.0,593221.0,595269.0,599912.0,602719.0,603925.0,603559.0
49,92154,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,451843.0,450280.0,450334.0,453396.0,455489.0,458383.0,460647.0,462533.0,462327.0,463243.0,465668.0,468959.0
53,95076,CA,Watsonville,"Santa Cruz-Watsonville, CA",Santa Cruz County,599034.0,603472.0,604195.0,607712.0,605028.0,605095.0,603954.0,601449.0,600769.0,601812.0,602279.0,602912.0
54,92704,CA,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA",Orange County,564239.0,562593.0,562175.0,562123.0,563465.0,564068.0,566495.0,569493.0,574128.0,576684.0,577194.0,576756.0
55,91710,CA,Chino,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,495790.0,496038.0,496623.0,496768.0,497900.0,498271.0,497324.0,497333.0,497561.0,499499.0,501259.0,503229.0
