,Unnamed: 0_x,City,Population_x,ViolentCrime_x,Murder_x,Rape_x,Robbery_x,AggAssault_x,PropertyCrime_x,Burglary_x,Theft_x,VehicleTheft_x,Arson_x,Unnamed: 0_y,ZIPCODE,State,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,Unnamed: 0,Population_y,ViolentCrime_y,Murder_y,Rape_y,Robbery_y,AggAssault_y,PropertyCrime_y,Burglary_y,Theft_y,VehicleTheft_y,Arson_y
0,0,Adelanto,34491.0,276.0,1.0,20.0,42.0,213.0,459.0,136.0,209.0,114.0,14.0,2685,92301,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,233445.0,234638.0,235892.0,236498.0,237585.0,237840.0,237916.0,237594.0,237711.0,238727.0,240068.0,241286.0,0,34491.0,276.0,1.0,20.0,42.0,213.0,459.0,136.0,209.0,114.0,14.0
1,1,Agoura Hills,20490.0,21.0,0.0,6.0,4.0,11.0,306.0,66.0,223.0,17.0,0.0,3966,91301,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,892446.0,888334.0,886704.0,883896.0,884138.0,885551.0,884656.0,885395.0,888037.0,892836.0,895788.0,898531.0,1,20490.0,21.0,0.0,6.0,4.0,11.0,306.0,66.0,223.0,17.0,0.0
2,2,Alameda,78907.0,162.0,0.0,7.0,94.0,61.0,2579.0,218.0,1958.0,403.0,29.0,333,94501,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,980540.0,975111.0,980778.0,986895.0,992577.0,995134.0,1007980.0,1016048.0,1024550.0,1019915.0,1014992.0,1016592.0,2,78907.0,162.0,0.0,7.0,94.0,61.0,2579.0,218.0,1958.0,403.0,29.0
3,2,Alameda,78907.0,162.0,0.0,7.0,94.0,61.0,2579.0,218.0,1958.0,403.0,29.0,7266,94502,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,959275.0,955917.0,958660.0,958782.0,958075.0,958259.0,966260.0,973730.0,981129.0,983646.0,983145.0,988208.0,2,78907.0,162.0,0.0,7.0,94.0,61.0,2579.0,218.0,1958.0,403.0,29.0
4,3,Albany,20083.0,40.0,0.0,8.0,21.0,11.0,685.0,105.0,534.0,46.0,1.0,6725,94706,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,1033994.0,1028618.0,1028165.0,1030041.0,1027714.0,1026655.0,1028350.0,1032666.0,1039134.0,1041460.0,1041869.0,1045909.0,3,20083.0,40.0,0.0,8.0,21.0,11.0,685.0,105.0,534.0,46.0,1.0
5,4,Alhambra,84837.0,161.0,2.0,11.0,89.0,59.0,1749.0,259.0,1303.0,187.0,8.0,621,91801,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,653090.0,650499.0,647614.0,647325.0,647642.0,649553.0,645397.0,644233.0,644500.0,649595.0,652377.0,655160.0,4,84837.0,161.0,2.0,11.0,89.0,59.0,1749.0,259.0,1303.0,187.0,8.0
6,4,Alhambra,84837.0,161.0,2.0,11.0,89.0,59.0,1749.0,259.0,1303.0,187.0,8.0,3600,91803,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,680138.0,677697.0,675675.0,674698.0,673231.0,674294.0,669290.0,668031.0,667922.0,673756.0,676401.0,678522.0,4,84837.0,161.0,2.0,11.0,89.0,59.0,1749.0,259.0,1303.0,187.0,8.0
7,5,Aliso Viejo,52247.0,27.0,1.0,3.0,13.0,10.0,433.0,57.0,351.0,25.0,1.0,905,92656,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,619789.0,618136.0,617122.0,615661.0,614986.0,613135.0,612096.0,611546.0,614428.0,616852.0,617378.0,616168.0,5,52247.0,27.0,1.0,3.0,13.0,10.0,433.0,57.0,351.0,25.0,1.0
8,6,Alturas,2471.0,10.0,0.0,2.0,1.0,7.0,30.0,14.0,13.0,3.0,0.0,14022,96101,CA,,Modoc County,128425.0,128729.0,129014.0,129152.0,129156.0,129007.0,128112.0,127366.0,127092.0,127818.0,128113.0,127992.0,6,2471.0,10.0,0.0,2.0,1.0,7.0,30.0,14.0,13.0,3.0,0.0
9,7,American Canyon,20452.0,53.0,0.0,7.0,7.0,39.0,454.0,59.0,368.0,27.0,3.0,5142,94503,CA,"Napa, CA",Napa County,598719.0,600440.0,600527.0,597713.0,596259.0,592693.0,591180.0,588585.0,590630.0,592423.0,595000.0,594908.0,7,20452.0,53.0,0.0,7.0,7.0,39.0,454.0,59.0,368.0,27.0,3.0
10,8,Anaheim,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0,48,92804,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,589323.0,588040.0,588536.0,588946.0,590660.0,591286.0,593221.0,595269.0,599912.0,602719.0,603925.0,603559.0,8,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0
11,8,Anaheim,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0,199,92801,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,555988.0,554401.0,554811.0,555402.0,556665.0,556122.0,557002.0,557957.0,561962.0,564559.0,566663.0,567108.0,8,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0
12,8,Anaheim,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0,215,92805,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,555787.0,554724.0,554690.0,554699.0,555852.0,555898.0,556873.0,558772.0,562828.0,565808.0,566615.0,565838.0,8,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0
13,8,Anaheim,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0,1602,92806,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,628542.0,626939.0,626901.0,627577.0,629400.0,629821.0,631623.0,633888.0,639208.0,643030.0,644996.0,645143.0,8,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0
14,8,Anaheim,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0,1723,92802,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,593209.0,591540.0,591681.0,592232.0,594492.0,594921.0,596519.0,598558.0,603368.0,606731.0,608432.0,608804.0,8,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0
15,8,Anaheim,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0,1907,92807,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,735468.0,733640.0,733181.0,732042.0,732493.0,731605.0,731821.0,732691.0,737015.0,740604.0,741652.0,740995.0,8,353915.0,1120.0,8.0,141.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,44.0
