ZIPCODE,City,Metro,CountyName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
90011,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,431284,431834,431883,434223,437189,439420,437700,437288,438655,443029,445805,450115
91331,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,493023,491204,489511,489494,489850,491273,489745,490367,491787,496455,500367,506064
90650,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,487572,485517,484164,484345,485361,486121,484453,484143,485745,489355,492048,495037
90201,Bell,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,451985,451959,452378,452891,452835,453393,452322,452175,453846,457415,460570,463997
92335,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,350245,351116,352676,354228,356071,357008,356722,357487,358679,360668,361821,362922
92503,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,400907,402083,404096,404978,404675,404523,404923,405807,405938,407940,408807,411678
90250,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,650249,648370,646941,647407,649651,652634,651494,651293,652891,657163,659984,663951
90044,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,445462,445393,446202,447074,449871,452715,452918,454171,455960,460285,463816,467968
90805,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,470509,468851,467637,468238,469670,471665,470967,471531,473429,477882,481526,484710
90280,South Gate,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,453101,452163,451216,451566,451885,453326,452418,453595,456119,460607,463712,466655
93307,Bakersfield,"Bakersfield, CA",Kern County,178437,179834,181031,181668,182967,184440,185423,186333,186879,187383,188014,188337
91342,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,526646,524883,523427,523668,525548,528493,527850,527889,528706,533005,536358,540613
92683,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,679908,677644,677925,678175,680164,679797,681010,683007,688805,693213,695253,695793
