lat,lon,acq_date,month,cities
32.538414,-114.621254,1/3/2019,1,Somerton
32.539585,-114.619484,8/12/2019,8,Somerton
32.541367,-114.618057,6/12/2019,6,Somerton
32.541977,-114.622284,6/12/2019,6,Somerton
32.543243,-114.61396,8/12/2019,8,Somerton
32.544514,-114.618759,8/12/2019,8,Somerton
32.549419,-116.996498,8/1/2019,8,San Diego
32.550823,-117.004608,8/1/2019,8,San Diego
32.551083,-116.999596,8/1/2019,8,San Diego
32.551338,-116.994614,8/1/2019,8,San Diego
32.552406,-116.857994,10/31/2019,10,Chula Vista
32.552727,-116.847733,10/31/2019,10,Chula Vista
32.552933,-116.853851,10/31/2019,10,Chula Vista
32.552952,-116.905067,1/3/2019,1,Chula Vista
32.55312,-116.859222,10/31/2019,10,Chula Vista
32.5532,-117.0007,8/2/2019,8,San Diego
32.553642,-116.840561,10/31/2019,10,Chula Vista
32.554375,-117.010208,8/1/2019,8,San Diego
32.55455,-116.844322,10/31/2019,10,Chula Vista
32.554592,-116.877625,6/28/2019,6,Chula Vista
32.5548,-116.99,8/2/2019,8,San Diego
32.554855,-117.007141,8/1/2019,8,San Diego
32.555161,-117.001854,8/1/2019,8,San Diego
32.555447,-116.996895,8/1/2019,8,San Diego
32.5555,-117.0066,8/1/2019,8,San Diego
32.555576,-117.005646,8/1/2019,8,San Diego
32.555592,-116.84861,10/31/2019,10,Chula Vista
32.556126,-116.828285,10/31/2019,10,Chula Vista
32.556591,-116.852737,10/31/2019,10,Chula Vista
32.556713,-116.828705,10/31/2019,10,Chula Vista
32.556839,-117.005264,8/1/2019,8,San Diego
32.556969,-116.835152,10/31/2019,10,Chula Vista
32.557045,-116.832077,10/31/2019,10,Chula Vista
32.557106,-117.000099,8/1/2019,8,San Diego
32.55722,-116.841461,10/31/2019,10,Chula Vista
32.557365,-116.995018,8/1/2019,8,San Diego
32.55748,-116.848022,10/31/2019,10,Chula Vista
32.557739,-116.8545,10/31/2019,10,Chula Vista
32.558086,-116.836372,10/31/2019,10,Chula Vista
32.558754,-116.825523,10/31/2019,10,Chula Vista
32.558975,-116.831985,10/31/2019,10,Chula Vista
32.55917,-116.837585,10/31/2019,10,Chula Vista
32.559391,-116.843964,10/31/2019,10,Chula Vista
32.559525,-116.771416,7/12/2019,7,Dulzura
32.559635,-116.851105,10/31/2019,10,Chula Vista
32.560101,-117.012016,8/1/2019,8,San Diego
32.560314,-114.58387,6/17/2019,6,Somerton
32.5606,-116.7636,7/12/2019,7,Dulzura
32.560692,-114.590996,5/30/2019,5,Somerton
32.56134,-117.007286,8/1/2019,8,San Diego
32.561798,-114.584053,6/10/2019,6,Somerton
32.562286,-117.01667,8/1/2019,8,San Diego
