city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Acampo,555749.0,557124.0,559033.0,558365.0,559425.0,560189.0,559229.0,556120.0,553692.0,551351.0,551444.0,550048.0
Acton,604387.0,604697.0,605355.0,605615.0,607799.0,609758.0,607143.0,603656.0,602175.0,606199.0,609343.0,612219.0
Adelanto,233445.0,234638.0,235892.0,236498.0,237585.0,237840.0,237916.0,237594.0,237711.0,238727.0,240068.0,241286.0
Adin,152317.0,152542.0,152708.0,153201.0,153249.0,153371.0,152798.0,152231.0,151916.0,152828.0,153241.0,153308.0
Agoura Hills,892446.0,888334.0,886704.0,883896.0,884138.0,885551.0,884656.0,885395.0,888037.0,892836.0,895788.0,898531.0
Aguanga,377606.0,378313.0,380140.0,382172.0,383553.0,383936.0,386498.0,388717.0,391085.0,390023.0,388955.0,388785.0
Ahwahnee,337366.0,336701.0,334164.0,332676.0,333514.0,336289.0,338631.0,339527.0,340603.0,341554.0,342748.0,343975.0
Alameda,969907.5,965514.0,969719.0,972838.5,975326.0,976696.5,987120.0,994889.0,1002839.5,1001780.5,999068.5,1002400.0
Alamo,1881246.0,1862368.0,1849503.0,1851424.0,1857358.0,1859712.0,1854403.0,1845018.0,1827481.0,1823818.0,1825851.0,1837792.0
Albany,1033994.0,1028618.0,1028165.0,1030041.0,1027714.0,1026655.0,1028350.0,1032666.0,1039134.0,1041460.0,1041869.0,1045909.0
Albion,657276.0,659279.0,655168.0,647738.0,641158.0,638107.0,637050.0,633822.0,631453.0,628914.0,622958.0,618045.0
Alhambra,666614.0,664098.0,661644.5,661011.5,660436.5,661923.5,657343.5,656132.0,656211.0,661675.5,664389.0,666841.0
Aliso Viejo,619789.0,618136.0,617122.0,615661.0,614986.0,613135.0,612096.0,611546.0,614428.0,616852.0,617378.0,616168.0
Alpaugh,132838.0,130956.0,131604.0,134667.0,139034.0,140755.0,138828.0,135223.0,134394.0,137439.0,140350.0,143468.0
Alpine,630845.0,629401.0,629974.0,632137.0,631308.0,631465.0,633596.0,636425.0,636134.0,635613.0,636462.0,639518.0
Alta,357309.0,358281.0,356750.0,357250.0,359087.0,361902.0,361257.0,358876.0,356843.0,354987.0,355057.0,356226.0
Altadena,883246.0,879917.0,878601.0,879369.0,881311.0,883814.0,879480.0,879149.0,881038.0,888695.0,894014.0,898989.0
American Canyon,598719.0,600440.0,600527.0,597713.0,596259.0,592693.0,591180.0,588585.0,590630.0,592423.0,595000.0,594908.0
Anaheim,593209.0,591540.0,591681.0,592232.0,594492.0,594921.0,596519.0,598558.0,603368.0,606731.0,608432.0,608804.0
Anderson,235226.0,237310.0,238064.0,238224.0,239175.0,242032.0,243398.0,243848.0,244224.0,245203.0,246216.0,246892.0
Angelus Oaks,258008.0,257426.0,256731.0,256258.0,256194.0,258328.0,259235.0,262102.0,264456.0,267477.0,268492.0,268243.0
Angwin,874125.0,881186.0,884986.0,888142.0,900275.0,906398.0,896961.0,878733.0,869188.0,868434.0,865182.0,859138.0
Annapolis,872539.0,863282.0,856438.0,851596.0,852007.0,864362.0,865700.0,871177.0,877437.0,890631.0,895292.0,886820.0
Antioch,540668.0,541721.5,538056.5,533615.0,531643.0,531648.5,533646.0,535114.5,538162.5,540554.5,543292.0,547181.0
Anza,281400.0,282495.0,283899.0,284143.0,284552.0,284668.0,287343.0,289759.0,290255.0,287725.0,284792.0,284719.0
Apple Valley,261514.5,262034.5,262776.5,263198.0,264414.0,265199.5,265585.5,265895.0,266079.0,267097.5,268185.0,269286.5
